    40/149     7.68G    0.0402   0.02289  0.002895   0.06598        14       640    0.7936    0.6993    0.7753    0.3887   0.06963    0.1291  0.009752
    41/149     7.68G   0.04034    0.0229  0.002759   0.06601        13       640    0.8047    0.7059    0.7868    0.4008   0.06917    0.1293  0.009611
    42/149     7.68G   0.04032   0.02235  0.002765   0.06544        25       640    0.7877    0.7149    0.7835    0.3963   0.06911    0.1275   0.00992
    43/149     7.68G    0.0397   0.02234  0.002648   0.06468        33       640    0.7635    0.7379    0.7869     0.401    0.0694    0.1271  0.009437
    44/149     7.68G   0.03958   0.02245   0.00277   0.06481        29       640     0.783    0.7221    0.7883    0.4042   0.06928    0.1277   0.01019
    45/149     7.68G   0.03949   0.02248   0.00258   0.06455        19       640    0.7961    0.7157    0.7901    0.4049    0.0686    0.1299  0.009711
    46/149     7.68G   0.03937   0.02224  0.002583    0.0642        49       640    0.7906    0.7343    0.7963    0.4106   0.06824     0.134  0.009621
    47/149     7.68G   0.03926   0.02245  0.002756   0.06447        33       640    0.7976    0.7241    0.7993     0.409   0.06855    0.1301  0.009951
    48/149     7.68G   0.03909   0.02201  0.002592   0.06369        17       640    0.7637    0.7461    0.7906      0.41   0.06834    0.1336  0.009472
    49/149     7.68G   0.03937   0.02231  0.002575   0.06425        37       640    0.8152    0.7204    0.8002    0.4145   0.06861    0.1315  0.009564
    50/149     7.68G   0.03888   0.02196  0.002626   0.06346         4       640    0.7885    0.7389    0.7984    0.4131   0.06836     0.132  0.009398
    51/149     7.68G   0.03897   0.02132  0.002507   0.06279        46       640    0.8154    0.7204    0.8044    0.4142    0.0682    0.1331  0.009114
    52/149     7.68G   0.03888   0.02198  0.002501   0.06335         8       640    0.8094    0.7286    0.8078    0.4202   0.06828    0.1308  0.009879
    53/149     7.68G   0.03871   0.02178  0.002584   0.06307        11       640    0.7962    0.7351     0.804    0.4222   0.06846     0.132  0.009676
    54/149     7.68G     0.039   0.02169  0.002472   0.06316        12       640    0.8031     0.742    0.8125    0.4214   0.06829    0.1332  0.009559
    55/149     7.68G   0.03843   0.02169  0.002502   0.06263        11       640    0.8104     0.732    0.8098    0.4233   0.06791    0.1329  0.009777
    56/149     7.68G   0.03843   0.02162   0.00244   0.06249        57       640    0.7895    0.7502    0.8097    0.4239   0.06774    0.1342  0.009559
    57/149     7.68G   0.03855   0.02194  0.002455   0.06295        33       640    0.8043    0.7467    0.8144    0.4277   0.06758     0.137  0.009635
    58/149     7.68G   0.03825   0.02148  0.002301   0.06203        36       640    0.7968    0.7473    0.8143    0.4278   0.06841    0.1365  0.009629
