    40/149      7.9G   0.02325   0.02507  0.002976   0.05129         7       640    0.7683    0.7044    0.7648    0.3597   0.06293    0.1478   0.01143
    41/149      7.9G   0.02304   0.02409  0.002879   0.05001        70       640    0.7846    0.7001    0.7683    0.3649   0.06232    0.1477   0.01222
    42/149      7.9G     0.023   0.02463  0.002708   0.05034         6       640    0.7913    0.6939    0.7681    0.3634   0.06227    0.1558    0.0114
    43/149      7.9G   0.02304   0.02505  0.002739   0.05083         7       640    0.7608    0.7218    0.7762    0.3716   0.06215    0.1501   0.01286
    44/149      7.9G   0.02283   0.02425  0.002615    0.0497        30       640    0.7507    0.7359    0.7763    0.3727   0.06199    0.1519   0.01156
    45/149      7.9G    0.0229   0.02455  0.002765   0.05021        36       640    0.7449    0.7395    0.7751    0.3749    0.0623    0.1532   0.01078
    46/149      7.9G   0.02275    0.0248  0.002702   0.05025        32       640    0.7725    0.7203    0.7802    0.3777    0.0623    0.1508   0.01143
    47/149      7.9G   0.02282   0.02433  0.002583   0.04972        31       640    0.8016    0.7042    0.7849    0.3806   0.06226    0.1552   0.01143
    48/149      7.9G   0.02274   0.02469  0.002709   0.05014        12       640    0.7745    0.7275    0.7873    0.3842   0.06202    0.1569   0.01089
    49/149      7.9G   0.02273   0.02449   0.00263   0.04985        17       640    0.7847     0.723    0.7886    0.3831   0.06199    0.1574   0.01114
    50/149      7.9G    0.0225   0.02482  0.002578   0.04989        17       640    0.7782    0.7298    0.7851    0.3861   0.06127    0.1572   0.01127
    51/149      7.9G    0.0225   0.02398  0.002605   0.04909        25       640    0.7712    0.7362    0.7906    0.3883    0.0609    0.1567   0.01256
    52/149      7.9G   0.02243   0.02374  0.002395   0.04856         7       640    0.7958    0.7237    0.7937    0.3886   0.06071    0.1632   0.01238
    53/149      7.9G   0.02239   0.02376  0.002398   0.04855         5       640    0.8031    0.7247    0.8006    0.3962   0.06088     0.158   0.01205
    54/149      7.9G    0.0223   0.02407  0.002523    0.0489        10       640     0.805    0.7196    0.8002    0.3955   0.06058    0.1606   0.01125
    55/149      7.9G   0.02222   0.02418  0.002465   0.04886        56       640     0.808    0.7147    0.7951     0.394   0.06059    0.1619   0.01172
